cruise_name,date,latitude,longitude,pres,temp,alkali,alkali_q,doxy,doxy_q,psal,psal_q,categ
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,26,17.542,2536,2,243,2,37.98,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,79,16.531,2580,2,242,2,38.336,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,89,15.856,2592,2,247,2,38.429,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,136,14.574,2621,2,229,2,38.603,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,149,14.571,2616,2,220,2,38.638,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,195,14.693,2631,2,213,2,38.82,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,347,14.257,2635,2,208,2,38.818,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,497,14.033,2622,2,203,2,38.795,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,670,13.822,2627,2,197,2,38.75,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,849,13.729,2614,2,190,2,38.731,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1104,13.654,2624,2,190,2,38.711,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1113,13.654,2621,2,188,2,38.71,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1348,13.638,2611,2,187,2,38.701,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1646,13.633,2618,2,188,2,38.69,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1990,13.641,2615,2,191,2,38.68,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,2384,13.667,2621,2,193,2,38.672,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,2779,13.708,2619,2,194,2,38.667,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3133,13.755,2619,2,193,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3337,13.791,2620,2,195,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3539,13.828,2618,2,194,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3845,13.885,2622,2,194,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,4088,13.93,2621,2,194,2,38.664,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,4,18.1056536,2384,2,245.84752396937,2,36.443,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,10.0783150000646,18.09403238976,2394,2,239.551095163181,2,36.529,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,30,16.74598,2391,2,224.454000120578,2,36.533,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,54,15.8062056,2403,2,210.444073276848,2,36.677,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,79,14.49652,2451,2,195.09005393474,2,37.179,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,104,13.8166832,2504,2,181.124218245993,2,37.521,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,126.011476034435,13.4494313616,2533,2,167.173785295388,2,38.006,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,153,13.2268248,2561,2,168.837482166338,2,38.302,2,training
