cruise_name,date,latitude,longitude,pres,temp,tcarbn,tcarbn_q,doxy,doxy_q,psal,psal_q,categ
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,2,20.3351184,2032,2,228.535544066183,2,36.644,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,33,20.3251208,2043,2,227.238546745262,2,36.522,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,54,16.5860184,2076,2,220.951831573307,2,36.505,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,104,14.8864264,2151,2,199.509664900326,2,36.984,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,151,13.6567216,2236,2,174.120135202492,2,37.81,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,189,13.24682,2279,2,179.272078794623,2,38.245,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,275,13.2768128,2290,2,180.110300357892,2,38.469,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,1515,12.8029665504,2283,2,194.414873094386,2,38.432,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,5,19.095416,2059,2,237.977466979053,2,36.982,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,26,15.85519384,2102,2,267.79180129763,2,36.982,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,105,13.2268248,2268,2,195.778222364221,2,38.186,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,154,13.1368464,2278,2,197.057790597561,2,38.318,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,202,13.1268488,2261,2,197.049239873729,2,38.364,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,303,13.2168272,2288,2,185.318601277422,2,38.451,2,training
