cruise_name,date,latitude,longitude,pres,temp,phosphat,phosphat_q,doxy,doxy_q,psal,psal_q,categ
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,26,17.542,0.03,2,243,2,37.98,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,79,16.531,0.04,2,242,2,38.336,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,89,15.856,0.03,2,247,2,38.429,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,136,14.574,0.03,2,229,2,38.603,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,149,14.571,0.04,2,220,2,38.638,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,195,14.693,0.1,2,213,2,38.82,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,347,14.257,0.15,2,208,2,38.818,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,497,14.033,0.17,2,203,2,38.795,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,670,13.822,0.2,2,197,2,38.75,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,849,13.729,0.21,2,190,2,38.731,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1104,13.654,0.22,2,190,2,38.711,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1113,13.654,0.22,2,188,2,38.71,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1348,13.638,0.22,2,187,2,38.701,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1646,13.633,0.21,2,188,2,38.69,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1990,13.641,0.2,2,191,2,38.68,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,2384,13.667,0.19,2,193,2,38.672,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,2779,13.708,0.19,2,194,2,38.667,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3133,13.755,0.19,2,193,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3337,13.791,0.19,2,195,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3539,13.828,0.19,2,194,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3845,13.885,0.19,2,194,2,38.663,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,4088,13.93,0.19,2,194,2,38.664,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,85,15.182,0.03,2,246.1,2,38.45,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,170,14.73,0.06,2,219.7,2,38.8,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,370,14.138,0.15,2,207.2,2,38.801,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,670,13.796,0.2,2,197,2,38.742,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,1352,13.632,0.22,2,187,2,38.699,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,2006,13.645,0.2,2,191.1,2,38.68,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,2814,13.706,0.19,2,194,2,38.665,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3524,13.833,0.19,2,194,2,38.665,2,training
GEOSECS_LEG_3,09-Dec-1977 00:00:00,35.597,17.252,3982,13.918,0.19,2,194,2,38.663,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,2,20.3351184,0.0194929287645795,2,228.535544066183,2,36.644,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,33,20.3251208,0.00974647888825464,2,227.238546745262,2,36.522,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,54,16.5860184,0.126714975045655,2,220.951831573307,2,36.505,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,79,15.6862344,0.175442103355196,2,211.333336347398,2,36.594,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,104,14.8864264,0.32157014441748,2,199.509664900326,2,36.984,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,151,13.6567216,0.428428217716189,2,174.120135202492,2,37.81,2,training
