cruise_name,date,latitude,longitude,pres,temp,phts_insi,phts_insi_q,doxy,doxy_q,psal,psal_q,categ
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,4,18.1056536,8.19193584952888,2,245.84752396937,2,36.443,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,10.0783150000646,18.09403238976,8.21839166829088,2,239.551095163181,2,36.529,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,30,16.74598,8.220095537377,2,224.454000120578,2,36.533,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,54,15.8062056,8.14518263235305,2,210.444073276848,2,36.677,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,79,14.49652,8.12545413227664,2,195.09005393474,2,37.179,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,104,13.8166832,8.21412340924497,2,181.124218245993,2,37.521,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,126.011476034435,13.4494313616,8.14179970418155,2,167.173785295388,2,38.006,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,153,13.2268248,8.13448334352931,2,168.837482166338,2,38.302,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,602,13.0568656,8.137516217015,2,183.570450820022,2,38.474,2,training
MEDIPROD IV,30-Oct-1981 00:00:00,36.1667,-4.5717,1006,12.9768848,8.14245746676884,2,190.079180081904,2,38.438,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,2,20.3351184,8.177204874087,2,228.535544066183,2,36.644,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,33,20.3251208,8.15393362102651,2,227.238546745262,2,36.522,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,54,16.5860184,8.13652074652646,2,220.951831573307,2,36.505,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,104,14.8864264,8.11223820473472,2,199.509664900326,2,36.984,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,151,13.6567216,8.09761501936278,2,174.120135202492,2,37.81,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,189,13.24682,8.08832111701174,2,179.272078794623,2,38.245,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,275,13.2768128,8.0970346062044,2,180.110300357892,2,38.469,2,training
MEDIPROD IV,05-Nov-1981 00:00:00,36.1733,-2.495,1515,12.8029665504,8.06851863978696,2,194.414873094386,2,38.432,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,5,19.095416,8.19547016916471,2,237.977466979053,2,36.982,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,26,15.85519384,8.1896762971998,2,267.79180129763,2,36.982,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,105,13.2268248,8.11020032256673,2,195.778222364221,2,38.186,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,154,13.1368464,8.11176836802337,2,197.057790597561,2,38.318,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,202,13.1268488,8.13811344950704,2,197.049239873729,2,38.364,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,303,13.2168272,8.09577825728332,2,185.318601277422,2,38.451,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,408,13.2168272,8.08588383629028,2,182.709111400887,2,38.498,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,508,13.1768368,8.10112948121904,2,184.436650181728,2,38.509,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,610,13.1268488,8.0731836727861,2,187.912673824897,2,38.489,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,813,13.046868,8.0894298614703,2,188.776811409525,2,38.468,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,1012,13.0168752,8.07771983724092,2,193.547991526219,2,38.455,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,1203,13.0068776,8.08647045577306,2,193.985389792959,2,38.437,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,2011,13.0568656,8.03631609958649,2,196.150469623055,2,38.432,2,training
MEDIPROD IV,06-Nov-1981 00:00:00,35.8483,-0.8417,2520,13.146844,8.02130996399585,2,201.796061062226,2,38.432,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,6,19.8852264,8.17737282212902,2,231.931487705206,2,37.007,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,25,19.8852264,8.1686665501108,2,232.359984295279,2,37.007,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,104,13.3667912,8.11759427632438,2,198.831793441189,2,38.041,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,153,13.1168512,8.11150255244518,2,197.929281297064,2,38.274,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,199,13.2268248,8.10364846017809,2,188.358335935719,2,38.359,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,301,13.3667912,8.09455741247152,2,180.10871335504,2,38.497,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,400,13.296808,8.09227950914166,2,181.405984720641,2,38.514,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,498,13.2068296,8.08621437229758,2,183.571583528832,2,38.512,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,986,13.0168752,8.06845780800138,2,193.985859391401,2,38.44,2,training
MEDIPROD IV,08-Nov-1981 00:00:00,37.9983,2.635,2615,13.1568416,8.01922310219797,2,206.139850732279,2,38.4246,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,4,19.6352864,8.17416907597762,2,226.174932231705,2,37.481,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,25,19.645284,8.15303774726909,2,227.050978479059,2,37.51,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,54,19.6252888,8.14683088015833,2,226.611233943896,2,37.529,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,103,14.6864744,8.15332287050641,2,237.20434312333,2,37.476,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,150,13.5567456,8.14980804294006,2,215.789034561224,2,38.085,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,184,13.1668392,8.1352299200108,2,212.270783102666,2,38.224,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,284,13.2868104,8.08901494205401,2,196.604625464716,2,38.446,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,409,13.4567696,8.09671858925106,2,183.574225469577,2,38.541,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,600,13.2568176,8.09231488964011,2,187.476475885686,2,38.508,2,training
MEDIPROD IV,10-Nov-1981 00:00:00,39.1767,6.1733,1000,13.0768608,8.07612061336276,2,191.818372025134,2,38.456,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,27,18.6355264,8.16960179990531,2,245.632302587267,2,37.822,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,38,18.6155312,8.15441476076006,2,231.719992886435,2,37.82,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,56,18.445572,8.16197875848012,2,231.707423908764,2,37.825,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,105,13.9666472,8.15313022493306,2,232.699112428853,2,38.195,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,153,13.196832,8.11499628063274,2,197.910247981091,2,38.428,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,195,13.2368224,8.06802358821622,2,195.298734321852,2,38.468,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,252.209290656077,13.24057349952,8.09839120807076,2,192.68832432939,2,38.503,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,285,13.2068296,8.10931559675031,2,190.082880037896,2,38.511,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,397,13.1168512,8.08672337816693,2,193.987603821691,2,38.494,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,438,13.1068536,8.09208895904249,2,191.383167262907,2,38.486,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,562,13.0368704,8.0770591330619,2,191.382225863317,2,38.472,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,778,12.99688,8.07172303782809,2,194.423136772659,2,38.446,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,982,12.99688,8.07345436039478,2,197.454460259654,2,38.447,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,1470,13.046868,8.05427344220591,2,201.359474530768,2,38.442,2,training
MEDIPROD IV,13-Nov-1981 00:00:00,41.25,6.1983,1991,13.0768608,8.03043049144397,2,199.630426548818,2,38.427,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,16,14.4165392,8.18546204751889,2,243.541526216073,2,38.418,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,26,14.3565536,8.17860535655231,2,238.765536411122,2,38.421,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,55,13.396784,8.16512877877461,2,196.611864931759,2,38.446,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,79,13.24682,8.10661302190704,2,197.464498168619,2,38.466,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,105,13.2068296,8.10598438659234,2,196.158355467674,2,38.477,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,153,13.1668392,8.10615903325368,2,194.426633032068,2,38.504,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,200,13.146844,8.10315473315299,2,193.123155494609,2,38.497,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,301,13.046868,8.09970102718675,2,195.288997522186,2,38.477,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,406,13.0068776,8.09697499503924,2,194.85072947865,2,38.47,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,503,12.99688,8.0883527887009,2,192.683570458414,2,38.466,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,605.859073130438,12.92231390016,8.08633428784395,2,194.852227779097,2,38.458,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,782,12.9668872,8.0855510597281,2,197.0263112649,2,38.449,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,1160,13.0168752,8.06309021649606,2,200.930520411757,2,38.452,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,1478,13.0568656,8.05650250175432,2,200.055755167965,2,38.449,2,training
MEDIPROD IV,15-Nov-1981 00:00:00,42.67,7.1633,1961,13.0768608,8.04121918720899,2,200.055456578649,2,38.434,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,49,15.6762368,8.20654327386483,2,215.291140172165,2,36.302,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,73,15.7362224,8.18661293616672,2,214.790636417283,2,36.964,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,98,15.49628,8.17301645400128,2,210.77058259874,2,37.266,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,126.007932443243,14.815418446,8.17174840976833,2,195.704294210245,2,36.842,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,149,13.6667192,8.19269123939489,2,180.632684505607,2,37.957,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,197,13.1868344,8.16015529281089,2,171.870851871559,2,38.365,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,1034,12.946892,8.17254393254699,2,191.381145657761,2,38.434,2,training
MEDIPROD IV,27-Oct-1981 00:00:00,35.8467,-4.8,484,13.0868584,8.15248862188676,2,184.874755615509,2,38.482,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,66.4307008518386,14.06562344,8.08287823767409,2,218.983258691946,2,37.734,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,81.4534184430624,13.7516988,8.09640631729909,2,201.563379100987,2,37.957,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,100.611363058163,13.58273936,8.10855422393434,2,205.882413061657,2,38.059,2,training
ALMOFRONT,27-Apr-1991 00:00:00,37.23276,-0.58272,222.655622213364,13.29280896,8.09022517322617,2,182.953967105177,2,38.322,2,training
